"table_name","column_name"
finsights_voucher_ledger_entries,ledger_id
finsights_voucher_ledger_entries,is_deemed_positive
finsights_voucher_ledger_entries,gst_overrdn_nature
finsights_voucher_ledger_entries,gst_overrdn_taxability
finsights_voucher_ledger_entries,inv_ledger_entry_type
finsights_voucher_ledger_entries,gst_type_id
finsights_voucher_ledger_entries,tax_rate
finsights_voucher_ledger_entries,tax_value
finsights_voucher_ledger_entries,discount_rate
finsights_voucher_ledger_entries,discount_value
finsights_voucher_ledger_entries,master_item_id
finsights_voucher_ledger_entries,inv_ledger_total_amount
finsights_voucher_ledger_entries,additional_gst_ledger
finsights_vouchers,id
finsights_vouchers,tally_guid
finsights_vouchers,type
finsights_vouchers,narration
finsights_vouchers,amount
finsights_vouchers,transaction_date
finsights_vouchers,created_by
finsights_vouchers,created_date
finsights_vouchers,modified_by
finsights_vouchers,modified_date
finsights_vouchers,ref_no
finsights_vouchers,vch_no
finsights_vouchers,vch_type_id
finsights_vouchers,payment_mode
finsights_vouchers,instrument_number
finsights_vouchers,instrument_date
finsights_vouchers,voucher_mode
finsights_vouchers,effective_date
finsights_vouchers,supplier_invoice_no
finsights_vouchers,invoice_date
finsights_vouchers,entry_from
finsights_vouchers,sync_status
finsights_vouchers,status
finsights_vouchers,misc_ref_no
finsights_vouchers,misc_ref_no_due_date
finsights_vouchers,voucher_type
finsights_vouchers,reference
finsights_vouchers,reference_date
finsights_vouchers,party_gstin
finsights_vouchers,tc_uuid
finsights_vouchers,company_name
finsights_vouchers,company_address
finsights_vouchers,gst_uin
finsights_vouchers,account_number
finsights_vouchers,account_holder_name
finsights_vouchers,ifsc_code
finsights_vouchers,bank_name
finsights_vouchers,branch_name
finsights_vouchers,company_logo_path
finsights_vouchers,company_signature_path
finsights_vouchers,upi_id
finsights_vouchers,due_date
finsights_vouchers,payment_terms
finsights_vouchers,po_no
finsights_vouchers,inv_prefix
finsights_vouchers,inv_number
finsights_vouchers,notes
finsights_vouchers,terms_conditions
finsights_vouchers,raw_data
finsights_vouchers,sync_settings_details
finsights_vouchers,final_sync_status
finsights_vouchers,qr_code_path
finsights_vouchers,sales_type
finsights_vouchers,desc_on_invoice
finsights_vouchers,customer_name
finsights_vouchers,customer_mobile_number
finsights_vouchers,receipt_amount
finsights_vouchers,receipt_balance_amount
finsights_vouchers,receipt_amount_type
finsights_vouchers,add_receipt_flag
godowns,id
godowns,tally_guid
godowns,name
godowns,alias_name
godowns,narration
godowns,parent_id
groups,id
groups,tally_guid
groups,name
groups,type
groups,created_by
groups,created_date
groups,modified_by
groups,modified_date
groups,parent_id
groups,nature_of_group
groups,entry_from
groups,sync_status
groups,reserved_name
gst_filing_report_detail,id
gst_filing_report_detail,ledger_id
gst_filing_report_detail,ledger_name
gst_filing_report_detail,gst_number
gst_filing_report_detail,registered_name
gst_filing_report_detail,registration_type
gst_filing_report_detail,filing_period
gst_filing_report_detail,filing_type
gst_filing_report_detail,compliance_status
gst_filing_report_detail,report_id
gst_filing_report_progress,id
gst_filing_report_progress,report_id
gst_filing_report_progress,gst_number
gst_filing_report_progress,ledgers_covered
gst_filing_report_progress,completion_percentage
