"table_name","column_name"
ledger_banking_cheque_print_configurations,cdate_starting_location_from_le
ledger_banking_cheque_print_configurations,style_of_date
ledger_banking_cheque_print_configurations,sd_seperator_used_in_date
ledger_banking_cheque_print_configurations,sd_seperator_width
ledger_banking_cheque_print_configurations,sd_distance_between_characters
ledger_banking_configuration_cheque_books,ledger_banking_configuration_cheque_book_id
ledger_banking_configuration_cheque_books,ledger_banking_configuration_id
ledger_banking_configuration_cheque_books,organization_id
ledger_banking_configuration_cheque_books,from_number
ledger_banking_configuration_cheque_books,to_number
ledger_banking_configuration_cheque_books,number_of_cheques
ledger_banking_configuration_cheque_books,name_of_cheque_book
ledger_banking_configurations,ledger_banking_configuration_id
ledger_banking_configurations,ledger_id
ledger_banking_configurations,organization_id
ledger_banking_configurations,effective_date_for_reconciliation
ledger_banking_configurations,od_limit
ledger_banking_configurations,set_alter_range_for_cheque_books
ledger_banking_configurations,enable_cheque_printing
ledger_banking_configurations,set_alter_cheque_printing_configuration
ledger_banking_configurations,use_as_notional_bank_for_post_dated_vouchers
ledger_banking_configurations,enable_auto_reconciliation
ledger_banking_configurations,set_alter_auto_reconciliation_configuration
ledger_configurations,ledger_configuration_id
ledger_configurations,organization_id
ledger_configurations,provide_alias_for_name
ledger_configurations,provide_language_alias_for_name
ledger_configurations,provide_description_for_ledgers
ledger_configurations,provide_notes_for_ledgers
ledger_configurations,maintain_balances_bill_by_bill
ledger_configurations,mb_for_non_accounting_also
ledger_configurations,provide_credit_limits
ledger_configurations,use_inventory_allocations_for_ledgers
ledger_configurations,select_type_of_ledger_to_auto_calculate_values_in_invoice_mode
ledger_configurations,select_appropriation_methods_to_allocate_add_costs
ledger_configurations,provide_percentage_of_calculation_and_running_method
ledger_configurations,provide_opening_balances_for_legers
ledger_configurations,provide_mailing_details
ledger_configurations,pmd_for_income_and_expense_accounts_also
ledger_configurations,pmd_provide_contact_details
ledger_configurations,provide_bank_details
ledger_configurations,provide_eff_date_of_br_for_bank_ledgers
ledger_configurations,provide_bank_account_details_for_bank_ledgers
ledger_configurations,set_br_and_e_payments
ledger_configurations,provide_cb_cp_details
ledger_configurations,set_bank_ledgers_as_notional_bank_ledgers
ledger_configurations,select_type_of_duties_or_taxes
ledger_configurations,set_ledgers_to_behave_as_duties_and_taxes
ledger_configurations,include_add_ledger_value_to_cal_assessable_value
ledger_configurations,provide_gst_reg_details
ledger_configurations,gstin_uin_prior_to_jan_20
ledger_configurations,for_jammu_and_kashmir
ledger_configurations,show_state_and_gstin_uin_for_dadra_and_haveli_dd
ledger_configurations,provide_service_tax_reg_details
ledger_configurations,provide_gst_rate_details_for_ledgers
ledger_configurations,pgrd_for_non_revenue_accounts
ledger_configurations,provide_service_tax_details
ledger_configurations,pstd_for_non_revenue_accounts
ledger_contact_details,ledger_contact_detail_id
ledger_contact_details,organization_id
ledger_contact_details,ledger_id
ledger_contact_details,ledger_mailing_detail_id
ledger_contact_details,contact_person
ledger_contact_details,cp_phone_no
ledger_contact_details,cp_fax_no
ledger_contact_details,cp_email
ledger_contact_details,cp_cc_to
ledger_contact_details,cp_website
ledger_contact_details,salutation
ledger_contact_details,first_name
ledger_contact_details,last_name
ledger_contact_details,designation
ledger_contact_details,work_phone
ledger_contact_details,status
ledger_excise_details,ledger_excise_detail_id
ledger_excise_details,ledger_id
ledger_excise_details,organization_id
ledger_excise_details,default_nature_of_purchase
ledger_excise_details,ecc_number
